Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
partial fractions,,,,,,,,
sets,,,,,,,,
magnitude,,,,,,,,
dimensions of the matrix,,,,,,,,
real component,,,,,,,,
rectangular form,,,,,,,,
component form,,,,,,,,
body of the function,,,,,,,,
chocolate chips,,,,,,,,
pieces of candy,,,,,,,,
lemons,,,,,,,,
Towers of Hanoi,,,,,,,,
ants,,,,,,,,
crickets,,,,,,,,
Northern Pike,,,,,,,,
soh cah toa,,,,,,,,
$t$-table,,,,,,,,
Maple,,,,,,,,
pure imaginary,,,,,,,,
directed graph,,,,,,,,
Weighted graph,,,,,,,,
in-degree,,,,,,,,
out-degree,,,,,,,,
edges,,,,,,,,
edge lists,,,,,,,,
adjacency lists,,,,,,,,
adjacency matrices,,,,,,,,
arrays,,,,,,,,
acyclic,,,,,,,,
Polybius square,,,,,,,,
table of values,,,,,,,,
Agriculture,,,,,,,,
Blended Learning Model,,,,,,,,
Blended Learning,,,,,,,,
bouncing,,,,,,,,
Tribute Money,Masaccio's painting. Italian name: Il pagamento del tributo.,,,,,,,
SE Coef,,,,,,,,
SE_b,,,,,,,,
caltrop,,,,,,,,
Large counts,,,,,,,,
z-scores,,,,,,,,
chi-square tests,,,,,,,,
sampling distribution,,,,,,,,
sample proportion,,,,,,,,
sample mean,,,,,,,,
standard deviation,,,,,,,,
normal distribution,,,,,,,,
Point-slope form,,,,,,,,
Reflections,,,,,,,,
logarithmic,,,,,,,,
Solving,,,,,,,,
multi-step,,,,,,,,
Subtraction,,,,,,,,
Translations,,,,,,,,
calculus,,,,,,,,
subtract,,,,,,,,
earned,,,,,,,,
Let's start by finding,,,,,,,,
parametric curve,,,,,,,,
We can write this as an equation,,,,,,,,
saddle points,,,,,,,,
Concept check,,,,,,,,
implicit differentiation,,,,,,,,
Sant Quirze de Pedret,,,,,,,,
vector-valued,,,,,,,,
dependent,As in a system of equations.,,,,,,,
system of linear equations,,,,,,,,
Systems of inequalities,,,,,,,,
arithmetic sequences,,,,,,,,
quick sort,,,,,,,,
Merge sort,,,,,,,,
Divide and conquer,,,,,,,,
Insertion sort,,,,,,,,
pseudocode,,,,,,,,
Selection sort,,,,,,,,
account balance,,,,,,,,
domain of a function,,,,,,,,
step functions,,,,,,,,
systems of linear equations,,,,,,,,
divisibility,,,,,,,,
Hustle,,,,,,,,
stable points,,,,,,,,
Stable point,,,,,,,,
second partial derivative test,,,,,,,,
egg-and-dart,ornamental device,,,,,,,
EngageNY,,,,,,,,
WNCP,,,,,,,,
NCERT,,,,,,,,
article,,,,,,,,
failed,,,,,,,,
universe,,,,,,,,
community,,,,,,,,
data rates,,,,,,,,
essay,,,,,,,,
MAP,,,,,,,,
widget,,,,,,,,
multiples,,,,,,,,
stem and leaf,,,,,,,,
counterclockwise,,,,,,,,
as a decimal number,,,,,,,,
vote,,,,,,,,
Stokes' theorem,,,,,,,,
Green's theorem,,,,,,,,
Work trough it,,,,,,,,
Extremophiles,,,,,,,,
manifolds,,,,,,,,
Class help,Назва розділу,,,,,,,
Learn,,VERB,,,,,,
Breadth-first search,,,,,,,,
the chain rule,,,,,,,,
extreme value theorem,,,,,,,,
PV diagrams,,,,,,,,
dot product,,,,,,,,
Einstein velocity addition formula,,,,,,,,
loop,,,,,,,,
KCL,Kirchhof's current law,,,,,,,
KVL,Kirchhoff's voltage law,,,,,,,
study guide,শিখন সহায়িকা,,,,,,,
resistivity,,,,,,,,
junction,,,,,,,,
power,,,,,,,,
X-rays,,,,,,,,
stress vs strain,,,,,,,,
Stress,,,,,,,,
Strain,,,,,,,,
best practices,,,,,,,,
similarity,,,,,,,,
startups,,,,,,,,
Thousandths,,NOUN,,,,,,
Frankfurt,City,,,,,,,
Calorie,,,,,,,,
decameter,,,,,,,,
Vertical angles,,,,,,,,
emf,Electromotive force,,,,,,,
laser,,,,,,,,
right-hand-slap rule,,,,,,,,
right-hand-grip rule,,,,,,,,
unit rate,,,,,,,,
per hundred,,,,,,,,
improper integral,,,,,,,,
low-order terms,,,,,,,,
least common multiples,,,,,,,,
Attributions,,,,,,,,
Dr. Renee M. Gondek,,,,,,,,
milliliters,,,,,,,,
ground fault interrupt circuits,,,,,,,,
Mexico City,,,,,,,,
cube unit,,,,,,,,
Antwerp,,,,,,,,
irrational numbers,,,,,,,,
*Want to try more problems like this? Check out these exercises:*,,,,,,,,
this challenge exercise,,,,,,,,
Check out [this article],,,,,,,,
the largest possible value,,,,,,,,
unit cubes,,,,,,,,
limits,,,,,,,,
blanks,,,,,,,,
Check out these tools,,,,,,,,
outlines,,,,,,,,
intuition,,,,,,,,
prime numbers,,,,,,,,
composite numbers,,,,,,,,
practice problems,,,,,,,,
factor pairs,,,,,,,,
Properties of exponents,,,,,,,,
SHM,Simple harmonic motion,,,,,,,
TRUE,,,,,,,,
Check out [this video],,,,,,,,
Check out [this exercise],,,,,,,,
*Want to try more problems like this?,,,,,,,,
One-step inequalities,,,,,,,,
two-step equations,,,,,,,,
two-step equation,,,,,,,,
2015 AP Chemistry free response,,,,,,,,
Bible moralisée,,,,,,,,
*Want another example like this? Check out [this video],,,,,,,,
*Want to try more problems like this? Check out [this exercise],,,,,,,,
reaction,,,,,,,,
Cluniac,,,,,,,,
Saint Benedict of Nursia,"Benedict of Nursia (Latin: Benedictus de Nursia; Italian: Benedetto da Norcia; Vulgar Latin: *Beneditto; c. 480 – 543 or 547 AD) is a Christian saint, who is venerated in the Eastern Orthodox Churches, the Catholic Church, the Oriental Orthodox Churches, the Anglican Communion and Old Catholic Churches. St. Benedict is the patron saint of Europe and students.",,,,,,,
Divine office,,,,,,,,
Matins,,,,,,,,
Lauds,,,,,,,,
Prime,,,,,,,,
Terce,,,,,,,,
Sext,,,,,,,,
None,,,,,,,,
Vespers,,,,,,,,
Compline,final church service (or office) of the day in the Christian tradition of canonical hours.,,,,,,,
plainsong,,,,,,,,
St Hugh,,,,,,,,
Saône-et-Loire,,,,,,,,
specific heat capacity,,,,,,,,
{\\text{Step }2},,,,,,,,
{\\text{Step } 1},,,,,,,,
hunting box,,,,,,,,
reverse saturation current,,,,,,,,
breakdown voltage,,,,,,,,
leakage current,,,,,,,,
Monastery of St. Gall,,,,,,,,
Odo,,,,,,,,
Berno,,,,,,,,
forward current,,,,,,,,
load line,,,,,,,,
GDP,,,,,,,,
purchasing power parity,The concept of purchasing power parity allows one to estimate what the exchange rate between two currencies would have to be in order for the exchange to be at par with the purchasing power of the two countries' currencies.,,,,,,,
pints,,,,,,,,
process quantity,,,,,,,,
Heat capacity,,,,,,,,
ampere,,,,,,,,
Worked example,,,,,,,,
associative property,,,,,,,,
identity property,,,,,,,,
pinhole cameras,,,,,,,,
pinhole camera,,,,,,,,
f-stop,,,,,,,,
Liters,,,,,,,,
"Remember, you can learn anything",,,,,,,,
tap light,type of lamp,,,,,,,
torque,,,,,,,,
decimal form,,,,,,,,
Tibet,,,,,,,,
Match,,,,,,,,
correlation coefficients,,,,,,,,
Banjo,musical instrument,,,,,,,
Practice set,,,,,,,,
Identifying,,,,,,,,
inappropriate,,ADJ,,,,,,
Monom,,,,,,,,
lattice multiplication,,,,,,,,
PEMDAS,,,,,,,,
Separable equations,,,,,,,,
exact equations,,,,,,,,
Differential equations,,,,,,,,
integrating factors,,,,,,,,
Homogeneous equations,,,,,,,,
significant figure,,,,,,,,
raw materials,,,,,,,,
Enabling Act,,,,,,,,
Lipstick,,,,,,,,
Caterpillar Tracks,,,,,,,,
mesh,,,,,,,,
Sunk costs,,,,,,,,
adjacent side,,,,,,,,
worked example,,,,,,,,
AP Physics,,,,,,,,
Algerian,,,,,,,,
Zimbabwe,,,,,,,,
Southern Africa,,,,,,,,
island of Saint Helena,,,,,,,,
The time is,,,,,,,,
a prime number,,,一个质数,,,一個質數,,
resistor,,,,,,,,
pin,,,,,,,,
Art Brut,,,,,,,,
Situationists,,,,,,,,
sucrose,,,,,,,,
sucrase,,,,,,,,
Skill checks,,,,,,,,
Inductor kickback,,,,,,,,
World War II,War,,,,,,,
rhombus,,,,,,,,
composite number,,,,,,,,
limiting reagent,,,,,,,,
mole ratio,,,,,,,,
molar ratio,,,,,,,,
stoichiometric ratio,,,,,,,,
Commutative property,,,,,,,,
budget constraint,,,,,,,,
opportunity set,,,,,,,,
spending money,,,,,,,,
mole ratios,,,,,,,,
marginal analysis,,,,,,,,
law of diminishing marginal utility,"As a person receives more of a good, the additional, or marginal, utility from each additional unit of the good declines.",,,,,,,
all-or-nothing choices,,,,,,,,
Expanded form,,,,,,,,
total spending,,,,,,,,
Opportunity cost,,,,,,,,
production possibilities frontier,A production–possibility frontier (PPF) or production possibility curve (PPC) is a graphical representation of possible combination of two goods with constant resources and technology.,,,,,,,
law of diminishing returns,"The law of diminishing returns holds that as additional resources are devoted to producing a good, the marginal increase in output will become smaller and smaller.",,,,,,,
productive efficiency,,,,,,,,
allocative efficiency,"Allocative efficiency is a state of the economy in which production represents consumer preferences; in particular, every good or service is produced up to the point where the last unit provides a marginal benefit to consumers equal to the marginal cost of producing.",,,,,,,
comparative advantage,,,,,,,,
—,,,,,,,,
Dulwich Picture Gallery,,,,,,,,
RGB,"Red, green, blue",,,,,,,
HSL color model,"HSL stands for hue, saturation, and lightness (or luminosity), and is also often called HLS.",,,,,,,
HSL color matching,"HSL stands for hue, saturation, and lightness (or luminosity), and is also often called HLS.",,,,,,,
CIE chromaticity,,,,,,,,
commission,,,,,,,,
markup,,,,,,,,
discount,a reduction in price ( not discount rate in banking terms),,,,,,,
rectangular prism,,,,,,,,
multi-scene,,,,,,,,
consumer surplus,,,,,,,,
producer surplus,,,,,,,,
deadweight loss,,,,,,,,
social surplus,,,,,,,,
Price floors,,,,,,,,
price ceilings,,,,,,,,
market equilibrium price,,,,,,,,
total surplus,,,,,,,,
cake,Assume this is a party cake,,,,,,,
plant genetic material,,,,,,,,
externalities,"In economics, an externality is the cost or benefit that affects a party who did not choose to incur that cost or benefit.",,,,,,,
greenhouse gases,,,,,,,,
Scalene,a type of triangle all sides different length,,,,,,,
Isosceles,Type of triangle 2 sides are identical,,,,,,,
equilateral,Type of triangle where all sides are same length,,,,,,,
ray,,,,,,,,
Problems,"In context of ""exercises""",,,,,,,
base salary,,,,,,,,
total salary,,,,,,,,
Biodiversity,,,,,,,,
crops,,,,,,,,
divisible,,,,,,,,
exact answer,,,,,,,,
mixed number,,,,,,,,
exponent,,,,,,,,
rational number,,,,,,,,
queen conch,,,,,,,,
obtuse angle,,,,,,,,
The Pythagorean theorem,,,,,,,,
Inc,,,,,,,,
supplementary angle,,,,,,,,
arc length,,,,,,,,
Sneha,,,,,,,,
opposite,,,,,,,,
rigid transformations,,,,,,,,
San Jose State,,,,,,,,
SFSU,,,,,,,,
UCSB,,,,,,,,
UC Davis,,,,,,,,
perimeter,,,,,,,,
In general,,,,,,,,
Recommendations,,,,,,,,
recommendation,,,,,,,,
ordered pairs,,,,,,,,
special angles,,,,,,,,
trapezoidal sum,,,,,,,,
Google Classroom,"не перекладаємо, сайт ще не має локалізації українською",,,,,,,
plot,,,,,,,,
gallons,,,,,,,,
gallon,,,,,,,,
feet,,,,,,,,
foot,,,,,,,,
yard,,,,,,,,
perpendicular bisector,,,,,,,,
circumscribed angle,,,,,,,,
rigid transformation,,,,,,,,
Cup,,,,,,,,
Coordinate planes,,,,,,,,
Acceleration,,,,,,,,
incenters,,,,,,,,
circumcenters,,,,,,,,
Standard identities,,,,,,,,
DNE,Do not exist,,,,,,,
exploratorium,,,,,,,,
kindergarten,,,,,,,,
two-way tables,,,,,,,,
capstone,,,,,,,,
outlier,,,,,,,,
liters,,,,,,,,
kilometer,,NOUN,公里,,,公里,,
kilogram,,,公斤,,,公斤,,
inch,,,,,,,,
transpose,,,,,,,,
adjugate,,NOUN,,,,,,
cofactor,,,,,,,,
Unit cube,,,,,,,,
Pets Galore,Name of pet store,,,,,,,
Furry Pets,name of store,,,,,,,
circumference,,,,,,,,
coupon books,,,,,,,,
Combine like terms,,,,,,,,
fraction expansion,,,,,,,,
AIME,American international mathematics exam,,,,,,,
AMC,American mathematics competitions,,,,,,,
Unit vector,,,,,,,,
convergent,,,,,,,,
triage,,,,,,,,
Support Star Guide,,,,,,,,
Mia,girl name,,,,,,,
Carl,name,,,,,,,
Surface area,,,,,,,,
Opposite,,,,,,,,
pieces of straw,AssumeNot the drinking kind,,,,,,,
bricks,,,,,,,,
sphere,,,,,,,,
chicken egg,,,鸡蛋,,,雞蛋,,
jungle gyms,,,,,,,,
high school,In US this is gr. 9-12,,,,,,,
trapezoids,,NOUN,,,,,,
equal parts,,,,,,,,
crayons,,,,,,,,
Two Scoops,Name of icecream shop,,,,,,,
Area,,,,,,,,
retail price,,,,,,,,
dividing,,,,,,,,
glossary,,,,,,,,
award-winning,,,,,,,,
square pyramid,,,,,,,,
Combining,,,,,,,,
obstacle course,,,,,,,,
The first missing number is,,,,,,,,
The missing numbers are,,,,,,,,
**What number is next?**,,,,,,,,
The next number is,,,,,,,,
**What is the missing number?**,,,,,,,,
Terms,,,,,,,,
Privacy,Secrecy,,,,,,,
Policy,Method,,,,,,,
KHANacademy,,,,,,,,
Login,,,,,,,,
Help Center,,,,,,,,
Google,,,,,,,,
Facebook,,,,,,,,
approximately,,,,,,,,
Ancient Greece,,,,,,,,
The missing number is,,,,,,,,
Spin-Off,,,,,,,,
Spin-Offs,new script version,,,,,,,
What whole number comes right after,,,,,,,,
Congruence,,,,,,,,
Mean absolute deviation,,,,,,,,
binomial,,,,,,,,
South Tyrol Museum of Archaeology.,,,,,,,,
one-dimensional,,,,,,,,
AP World History,,,,,,,,
Greco Persian Wars,,,,,,,,
Archidamian War,,,,,,,,
Decelean War.,,,,,,,,
Southeast Asia,,,,,,,,
central Asia,,,,,,,,
East Asia,,,,,,,,
Zodiac,,,,,,,,
Warring States Period,,,,,,,,
Battle of Charonea,,,,,,,,
Pax Roman,,,,,,,,
Ganesh,deity in the Hindu pantheon,,,,,,,
Astyages,,,,,,,,
Kuh-e Rahmet,,,,,,,,
Diodorus Siculus,,,,,,,,
Behistun,,,,,,,,
Western Asia,,,,,,,,
School of Athens,,,,,,,,
tondo,,,,,,,,
Panhellenic games,,,,,,,,
Isthmia,,,,,,,,
City Dionysia of Athens,,,,,,,,
Iliad,,,,,,,,
League of Corinth,,,,,,,,
Delian League,,,,,,,,
Attica,,,,,,,,
helots,,,,,,,,
theme,,,,,,,,
overdrew,,,,,,,,
GNP,Gross National Product,,,,,,,
NNP,Net National Product,,,,,,,
allele frequency,,,,,,,,
gene pool,,,,,,,,
fitness,,,,,,,,
pattern,,,,,,,,
input,,,,,,,,
output,,,,,,,,
magnolia warbler,,,,,,,,
Cape May warbler,,,,,,,,
**What whole number comes right before,,,,,,,,
**What number is missing?**,,,,,,,,
**How many wheels do you see?**,,,,,,,,
**Which box has,,,,,,,,
This box has,,,,,,,,
evidence,,,,,,,,
association,,,,,,,,
skill,,NOUN,,,,,,
regression lines,,,,,,,,
Predictors,,,,,,,,
residual plots,,,,,,,,
root-mean-square error,,,,,,,,
RMSD,Root mean square deviation,,,,,,,
least squares regression,,,,,,,,
frequency histograms,,,,,,,,
skew,,,,,,,,
ETC,,,,,,,,
ATP synthase,,,,,,,,
cutoff,,,,,,,,
lower percentile,,,,,,,,
z table,,,,,,,,
tasks,,,,,,,,
subject,,NOUN,,,,,,
Chemiosmosis,,,,,,,,
**How many people do you see?**,,,,,,,,
proton gradient,,,,,,,,
List,,,,,,,,
Mission,,,,,,,,
down their gradient,,,,,,,,
Acetyl CoA,,,,,,,,
reactants,,,,,,,,
reactant,,,,,,,,
double-stranded DNA,,,,,,,,
double-stranded,,,,,,,,
single-stranded,,,,,,,,
Aggregate supply,,,,,,,,
aggregate demand,,,,,,,,
catabolic pathway,,,,,,,,
aq,,,,,,,,
tradeoff,,,,,,,,
PPF,,,,,,,,
random variable,,,,,,,,
cell signaling,,,,,,,,
Paracrine signaling,,,,,,,,
autocrine signaling,,,,,,,,
Direct signaling,,,,,,,,
endocrine signaling,,,,,,,,
ligand-gated ion receptors,,,,,,,,
prokaryotes,,,,,,,,
prokaryote,,,,,,,,
surplus,,,,,,,,
variability,,,,,,,,
Receptor tyrosine kinases,,,,,,,,
ligand-gated ion channel,,,,,,,,
excise tax,,,,,,,,
amount,,,,,,,,
translation,,,,,,,,
translations,,,,,,,,
"assignment,",,,,,,,,
spread,,,,,,,,
measures of center,,,,,,,,
unbiased estimator,,,,,,,,
cluster sampling,,,,,,,,
cluster,,,,,,,,
summary statistics,,,,,,,,
residual plot,,,,,,,,
Unit test,,,,,,,,
square kilometers,,,,,,,,
AP Statistics,,,,,,,,
right-skewed,,,,,,,,
left-skewed,,,,,,,,
understanding,,,,,,,,
percentile rank,,,,,,,,
Clue,,,,,,,,
least-squares regression line,,,,,,,,
"assignments,",,,,,,,,
flatworms,,,,,,,,
MAD,,,,,,,,
standard normal probabilities table,,,,,,,,
relative frequency marginal distribution,,,,,,,,
Minneapolis,,,,,,,,
groups of,,,,,,,,
cosine,the cosine is a trigonometric function which gives the length of the x-component (the adjacent of the angle or the run),,,,,,,
tangent,,,,,,,,
values,,,,,,,,
center of dilation,,,,,,,,
"method of ""completing the square""",,,,,,,,
polygon,,,,,,,,
R-squared adjusted,,,,,,,,
double-blind,,,,,,,,
population,,,,,,,,
explanatory,,,,,,,,
"If a bag contains a forbidden item, there is a $98\\%$ chance that it triggers the alarm",,,,,,,,
Suppose that $5\\%$ of bags contain forbidden items,,,,,,,,
"If a bag doesn't contain a forbidden item, there is an $8\\%$ chance that it triggers the alarm",,,,,,,,
perpendicularly,,,,,,,,
**Which is shorter?**,,,,,,,,
**Which is taller?**,,,,,,,,
Let's line them up to see,,,,,,,,
Assignment,,,,,,,,
*Which shape is a circle?*,,,,,,,,
jump discontinuity,,,,,,,,
one-sided limits,,,,,,,,
adjacent,,,,,,,,
Choose 1 answer:,,,,,,,,
numerator,,,,,,,,
homologous chromosomes,,,,,,,,
inscribed,,,,,,,,
Point-slope form,,,,,,,,
truncated cone,,,,,,,,
Ishaan,,,,,,,,
Luis,,,,,,,,
Vanessa,,,,,,,,
Ben,,,,,,,,
Lukasz,,,,,,,,
Chayton,,,,,,,,
Bulan,,,,,,,,
Chioma,,,,,,,,
Ryan,,,,,,,,
Wang Yong,,,,,,,,
Elena,,,,,,,,
Elsa,,,,,,,,
Olaf,,,,,,,,
solids,,NOUN,,,,,,
Eureka Math,,NOUN,,,,,,
support,,,,,,,,
related,,,,,,,,
shape,,NOUN,,,,,,
sides,,,,,,,,
side,,,,,,,,
assignment,,,,,,,,
classes,,,,,,,,
class,,,,,,,,
browse,,,,,,,,
flipped,,,,,,,,
Sarah,,,,,,,,
Circles,,,,,,,,
populations,,,,,,,,
operations,,,,,,,,
Antiderivative,,,,,,,,
Antiderivatives,,,,,,,,
personalized,,,,,,,,
combine,,,,,,,,
click,,VERB,,,,,,
unsubscribe,,VERB,,,,,,
Every,,,,,,,,
Subject,,,,,,,,
Watch,,,,,,,,
Algebra,,,,,,,,
Biology,,,,,,,,
Chemistry,,,,,,,,
History,,,,,,,,
Economics,,,,,,,,
quiz,,NOUN,,,,,,
computer science,,,,,,,,
notifications,,,,,,,,
Visit,,VERB,,,,,,
copy,,VERB,,,,,,
paste,,VERB,,,,,,
clicking,,,,,,,,
bar,,,,,,,,
activity,,,,,,,,
View,,,,,,,,
donation,,NOUN,,,,,,
bold,,,,,,,,
expansive,,,,,,,,
topics,,,,,,,,
avatar,,,,,,,,
visit,,,,,,,,
sync,,,,,,,,
syncs,,,,,,,,
realize,,,,,,,,
math,,,,,,,,
forward,,,,,,,,
instructional,,,,,,,,
button,,,,,,,,
you can learn anything,,,,,,,,
Twitter,,,,,,,,
instructions,,,,,,,,
note,,,,,,,,
assumes,,,,,,,,
Import,,,,,,,,
Loading,,,,,,,,
Certificate,,,,,,,,
Browse,,,,,,,,
unit test,,,,,,,,
study plan,,,,,,,,
recommend,,,,,,,,
lesson,,,,,,,,
identify,,,,,,,,
Uh oh,,,,,,,,
description,,,,,,,,
Place value,,,,,,,,
dilation,,,,,,,,
help center,,,,,,,,
elements,,,,,,,,
objects,,NOUN,,,,,,
picture graph,,,,,,,,
Better Money Habits,,,,,,,,
Foundations,,,,,,,,
newsletter,,,,,,,,
newsletters,,NOUN,,,,,,
tailored,,,,,,,,
In-context,Crowdin translation mode.,,,,,,,
task,,,,,,,,
Okay,,,,,,,,
privileges,,,,,,,,
practice set,,,,,,,,
overdrawn,,,,,,,,
improper,,,,,,,,
Proper,,,,,,,,
More,,,,,,,,
Vote,,,,,,,,
logo,,,,,,,,
Navigate,,,,,,,,
Missing,,,,,,,,
Identity,,,,,,,,
Inverse,,,,,,,,
example.com,,,,,,,,
hellbanned,,,,,,,,
Approximating,,,,,,,,
unit,,NOUN,,,,,,
powers,,,,,,,,
contributors,,,,,,,,
hovercraft,,,,,,,,
width,,,,,,,,
worked examples,,,,,,,,
Coach dashboard,,,,,,,,
volleyball,,,,,,,,
leading term,,,,,,,,
##Locate points in quadrant I,,,,,,,,
identity,,,,,,,,
identities,,,,,,,,
multiplicity,,,,,,,,
$x$-intercepts,,,,,,,,
$y$-intercepts,,,,,,,,
Enter,,PROPN,,,,,,
Enable,,,,,,,,
vertices,,,,,,,,
Answer,,,,,,,,
meerkats,,,,,,,,
coordinate geometry,,,,,,,,
linear equation,,,,,,,,
slopes,,,,,,,,
denominator,,NOUN,,,,,,
greater,,,,,,,,
less,,,,,,,,
matching gift,,,,,,,,
extraneous solutions,,,,,,,,
earn,,VERB,,,,,,
spam,,,,,,,,
invertible,,,,,,,,
mapping diagram,,,,,,,,
relatively prime denominators,,,,,,,,
millimeters,,,,,,,,
tick mark,,,,,,,,
arc,,,,,,,,
half-circle,,,,,,,,
colinear,,,,,,,,
conversely,,,,,,,,
bisects,,,,,,,,
compass,,,,,,,,
straightedge,,,,,,,,
Standard deviation,,,,,,,,
identity function,,,,,,,,
Factoring,,,,,,,,
visual,,,,,,,,
ordering,,VERB,,,,,,
Variance,,,,,,,,
separation of variables,,,,,,,,
critical points,,,,,,,,
sigma notation,,,,,,,,
indefinte integral,,,,,,,,
differential equation,,,,,,,,
Standard form,,,,,,,,
plug,,,,,,,,
achievement,,NOUN,,,,,,
achievements,,NOUN,,,,,,
constant of proportionality,,,,,,,,
Leaf,,NOUN,,,,,,
Green,,,,,,,,
Blue,,,,,,,,
Yellow,,,,,,,,
Seed,,,,,,,,
Seedling,,,,,,,,
Sapling,,,,,,,,
Tree,,,,,,,,
Flute,,,,,,,,
Leafers,,,,,,,,
πceratops,,,,,,,,
Laplacian,,,,,,,,
upper limit of integration,,,,,,,,
rearranged,,,,,,,,
Focus,,,,,,,,
Exponential equation,,,,,,,,
Cube-root,,,,,,,,
Square-root,,,,,,,,
For reference,,,,,,,,
Fundamental Theorem of Calculus,,,,,,,,
We're given,,,,,,,,
